Database???Monthly
Month£º2015-
Indicators,Apr 2024,Mar 2024,Feb 2024,Jan 2024,Dec 2023,Nov 2023,Oct 2023,Sep 2023,Aug 2023,Jul 2023,Jun 2023,May 2023,Apr 2023,Mar 2023,Feb 2023,Jan 2023,Dec 2022,Nov 2022,Oct 2022,Sep 2022,Aug 2022,Jul 2022,Jun 2022,May 2022,Apr 2022,Mar 2022,Feb 2022,Jan 2022,Dec 2021,Nov 2021,Oct 2021,Sep 2021,Aug 2021,Jul 2021,Jun 2021,May 2021,Apr 2021,Mar 2021,Feb 2021,Jan 2021,Dec 2020,Nov 2020,Oct 2020,Sep 2020,Aug 2020,Jul 2020,June 2020,May 2020,Apr 2020,Mar 2020,Feb 2020,Jan 2020,Dec 2019,Nov 2019,Oct 2019,Sep 2019,Aug 2019,Jul 2019,Jun 2019,May 2019,Apr 2019,Mar 2019,Feb 2019,Jan 2019,Dec 2018,Nov 2018,Oct 2018,Sep 2018,Aug 2018,Jul 2018,Jun 2018,May 2018,Apr 2018,Mar 2018,Feb 2018,Jan 2018,Dec 2017,Nov 2017,Oct 2017,Sep 2017,Aug 2017,Jul 2017,Jun 2017,May 2017,Apr 2017,Mar 2017,Feb 2017,Jan 2017,Dec 2016,Nov 2016,Oct 2016,Sep 2016,Aug 2016,Jul 2016,Jun 2016,May 2016,Apr 2016,Mar 2016,Feb 2016,Jan 2016,Dec 2015,Nov 2015,Oct 2015,Sep 2015,Aug 2015,Jul 2015,Jun 2015,May 2015,Apr 2015,Mar 2015,Feb 2015,Jan 2015
Value-added of Manufacture of Paper and Paper Products Accumulated Growth Rate(%),11.5,11.6,12.6,,3.1,2.4,1.8,1.1,0.1,-0.8,-1.4,-2.0,-2.1,-3.0,-3.2,,-0.6,-0.3,-0.1,0.0,-0.3,0.0,0.2,-0.1,-0.2,1.7,1.9,,6.3,6.8,7.5,8.6,10.4,11.5,13.4,15.3,17.6,22.4,38.8,,1.2,0.9,0.5,-0.3,-1.0,-1.6,-2.4,-3.5,-4.7,-10.2,-19.1,,4.2,4.1,3.9,3.7,3.5,3.6,3.3,2.9,2.5,4.1,2.2,,1.0,0.9,0.7,1.0,1.4,1.4,1.4,1.7,1.9,1.3,1.1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Value-added of Printing Reproduction of Recording Media Growth Rate (The same period last year=100)(%),7.7,1.5,,,0.6,-1.3,0.0,-2.9,-4.5,-5.2,-5.5,-4.7,-3.5,-4.7,,,-5.1,-4.7,-1.9,2.5,-0.9,0.6,4.3,0.9,-2.8,3.9,,,5.9,6.7,4.9,3.1,9.6,7.8,12.2,9.9,10.6,10.8,,,2.4,1.7,2.3,3.4,0.4,-0.9,-3.1,2.0,5.8,-4.1,,,1.3,1.2,-1.1,1.0,-1.5,2.6,2.1,1.9,-0.4,12.0,,,9.1,7.2,6.4,5.1,7.8,6.9,4.2,2.9,8.1,6.5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Value-added of Printing Reproduction of Recording Media Accumulated Growth Rate(%),5.3,4.4,6.3,,-3.1,-3.7,-3.9,-4.2,-4.4,-4.5,-4.4,-4.1,-3.9,-4.2,-3.8,,0.4,1.1,1.7,2.1,2.1,2.5,3.0,2.6,3.0,5.3,6.2,,11.2,11.9,12.6,13.6,15.3,16.3,18.0,19.4,22.2,27.5,45.4,,-2.0,-2.5,-3.1,-3.7,-4.7,-5.5,-6.4,-7.3,-10.1,-17.3,-28.5,,2.5,2.6,2.8,3.2,3.5,4.2,4.5,5.0,5.9,8.0,5.3,,6.6,6.4,6.3,6.3,6.5,6.2,6.1,6.5,7.3,6.9,7.1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Value-added of Manufacture of Articles for Culture Education Art Sport and Entertainment Activities Growth Rate (The same period last year=100)(%),9.5,-4.5,,,2.5,-0.6,-3.3,-2.5,-5.5,-8.7,-6.8,-7.0,-6.9,-2.9,,,-13.6,-12.8,-8.0,-6.0,-3.4,2.7,2.8,-3.9,-6.0,3.4,,,7.9,6.9,7.4,7.0,7.7,9.2,19.6,24.2,24.3,19.9,,,3.5,2.8,0.6,3.1,-0.5,-5.7,-8.3,-9.8,-10.6,-10.7,,,-1.4,-1.1,-5.7,-2.0,-2.0,0.6,-1.4,4.4,7.7,7.1,,,7.0,6.9,5.2,4.3,8.1,7.6,9.6,8.5,9.8,8.4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Value-added of Manufacture of Articles for Culture Education Art Sport and Entertainment Activities Accumulated Growth Rate(%),5.5,4.1,10.0,,-4.7,-5.4,-6.0,-6.3,-6.9,-7.1,-6.8,-6.9,-6.7,-6.2,-8.3,,-2.6,-1.4,-0.1,0.9,1.9,2.7,2.8,2.8,4.7,9.1,12.8,,14.9,15.8,17.0,18.3,20.3,22.7,25.6,27.2,28.2,29.8,41.2,,-6.0,-7.0,-8.2,-9.2,-11.1,-12.8,-14.3,-15.9,-18.0,-21.2,-29.4,,1.1,1.3,1.6,2.4,3.0,3.8,4.4,5.7,6.1,5.4,4.3,,7.8,7.9,8.0,8.3,8.9,9.0,9.3,9.1,9.3,9.0,9.3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Value-added of Processing of Petroleum Coal and Other Fuels Growth Rate (The same period last year=100)(%),2.9,7.2,,,15.0,8.1,9.2,9.4,14.8,14.8,6.8,10.7,9.1,1.3,,,-8.3,-3.2,-2.8,-2.6,-4.6,-9.5,-9.6,-7.3,-6.6,-3.3,,,-3.3,-5.4,-4.3,-8.1,-4.5,1.9,-0.4,-1.6,4.9,11.9,,,1.7,2.7,1.5,2.6,6.8,3.9,7.1,7.8,-0.4,-8.9,,,7.3,9.0,6.0,7.7,2.5,1.6,4.1,0.1,4.7,2.0,,,5.7,4.6,7.0,5.4,4.9,7.4,6.5,6.3,6.2,8.2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Value-added of Processing of Petroleum Coal and Other Fuels Accumulated Growth Rate(%),6.6,7.8,8.1,,8.2,7.6,7.5,7.3,7.0,6.0,4.5,4.0,2.2,-0.1,-1.0,,-5.1,-4.8,-5.0,-5.3,-5.7,-5.9,-5.4,-4.4,-3.7,-2.7,-2.4,,0.8,1.3,2.0,2.7,4.2,5.6,6.2,7.6,9.6,11.1,13.1,,0.7,0.6,0.4,0.2,-0.1,-1.2,-2.0,-3.9,-6.3,-8.1,-7.8,,5.0,4.7,4.3,4.0,3.5,3.6,3.9,3.8,4.6,4.6,6.1,,6.4,6.4,6.6,6.6,6.7,7.0,6.9,7.0,7.2,7.6,7.1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Value-added of Manufacture of Raw Chemical Materials and Chemical Products Growth Rate (The same period last year=100)(%),12.3,9.1,,,11.0,9.6,12.1,13.4,14.8,9.8,9.9,3.9,7.5,7.1,,,11.0,10.8,9.8,12.1,3.8,4.7,5.4,5.0,-0.6,3.0,,,1.2,-0.9,0.8,0.0,5.5,6.6,9.8,8.6,8.7,11.9,,,7.5,9.2,8.8,7.5,6.9,4.7,4.0,3.9,3.2,0.7,,,7.7,7.9,3.0,3.3,1.2,3.8,5.4,3.5,3.4,7.1,,,1.8,1.9,4.4,5.0,4.8,3.5,2.9,4.3,5.2,4.3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Value-added of Manufacture of Raw Chemical Materials and Chemical Products Accumulated Growth Rate(%),10.3,9.6,10.0,,9.6,9.5,9.5,9.2,8.6,7.8,7.4,6.9,7.6,7.6,7.8,,6.6,6.1,5.6,5.0,4.1,4.1,4.0,3.6,3.3,4.7,5.9,,7.7,8.5,9.6,10.8,12.3,13.4,14.5,15.6,17.6,21.1,30.8,,3.4,2.9,2.3,1.5,0.7,-0.1,-1.0,-2.1,-3.9,-6.8,-12.3,,4.7,4.4,4.0,4.1,4.3,4.6,4.8,4.6,5.0,5.5,4.3,,3.6,3.8,4.0,4.0,3.8,3.7,3.7,3.8,3.7,3.1,2.4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Value-added of Manufacture of Medicines Growth Rate (The same period last year=100)(%),4.9,3.1,,,-3.3,-8.1,-10.4,-7.7,-6.2,-3.5,-2.1,-4.4,-7.2,-8.3,,,-1.4,-3.2,1.6,-7.5,-13.1,-10.3,-8.5,-12.3,-3.8,10.1,,,8.6,17.0,16.3,26.5,32.9,25.3,32.5,34.0,19.0,16.2,,,16.9,13.6,8.2,7.4,4.3,3.3,3.9,2.0,4.8,10.4,,,5.3,5.1,7.1,7.3,8.3,7.4,5.9,5.6,9.1,6.9,,,8.8,6.6,7.0,9.7,8.3,8.1,10.2,10.9,9.7,9.8,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Value-added of Manufacture of Medicines Accumulated Growth Rate(%),0.4,-1.0,-3.5,,-5.8,-6.0,-5.7,-5.2,-4.9,-4.6,-4.9,-5.4,-5.7,-5.1,-3.1,,-3.4,-3.7,-3.8,-4.3,-3.8,-2.4,0.9,3.1,7.6,11.8,12.9,,24.8,26.9,27.9,29.2,30.0,29.3,29.6,28.4,25.9,28.5,41.6,,5.9,4.6,3.5,3.0,2.3,2.1,1.8,0.9,0.0,-2.3,-12.3,,6.6,6.8,7.0,6.9,6.9,6.7,6.6,6.7,7.2,6.4,5.9,,9.7,9.7,9.9,10.3,10.3,10.5,10.9,10.9,10.9,11.4,12.3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Value-added of Manufacture of Chemical Fibers Growth Rate (The same period last year=100)(%),11.3,7.3,,,16.2,16.8,11.2,11.7,16.7,13.2,9.4,8.5,11.0,2.1,,,-3.4,2.4,6.9,5.0,-3.3,-3.6,2.5,-0.1,-4.1,1.2,,,-1.1,-1.3,-3.9,-0.8,9.7,12.8,5.8,8.1,8.6,12.5,,,8.0,6.6,8.4,4.2,2.1,1.3,6.2,4.3,0.5,-1.5,,,9.8,11.7,9.3,13.5,6.6,6.6,8.8,11.9,13.0,16.9,,,2.9,5.8,8.7,8.0,13.7,10.6,11.9,7.6,9.2,7.4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Value-added of Manufacture of Chemical Fibers Accumulated Growth Rate(%),14.2,15.4,21.0,,9.6,9.0,8.3,8.0,7.6,6.4,5.2,4.2,3.0,0.6,-0.7,,1.1,1.4,1.2,0.4,-0.3,0.2,0.6,0.3,0.4,2.4,3.0,,7.2,8.1,9.1,10.7,12.3,12.7,12.6,14.2,15.8,18.6,26.0,,2.2,1.6,1.1,0.2,-0.4,-0.7,-1.2,-2.9,-4.9,-6.9,-10.7,,11.9,11.8,11.5,12.3,12.1,12.8,13.0,14.0,14.3,14.8,13.1,,7.6,8.0,8.2,8.2,8.2,7.3,6.6,5.4,4.7,3.0,0.5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Value-added of Manufacture of Rubber and Plastics Growth Rate (The same period last year=100)(%),10.5,5.3,,,9.9,7.4,6.0,6.0,5.4,3.6,3.0,2.5,2.9,1.7,,,-7.3,-3.4,-0.8,1.4,-1.2,-1.5,1.0,-2.7,-8.1,0.8,,,0.0,-2.0,-5.4,-3.9,0.4,1.1,3.9,5.1,9.2,14.8,,,5.9,7.7,11.5,8.4,4.7,3.8,2.7,3.5,5.2,-5.5,,,3.7,5.7,3.9,5.7,4.5,5.2,4.8,5.1,-0.2,12.6,,,3.7,1.2,2.4,2.2,2.0,3.7,3.8,2.7,6.6,2.7,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Value-added of Manufacture of Rubber and Plastics Accumulated Growth Rate(%),10.1,9.9,13.1,,3.7,3.1,2.6,2.2,1.7,1.1,0.7,0.2,-0.3,-1.5,-3.5,,-1.8,-1.1,-0.8,-0.8,-1.1,-1.0,-1.0,-1.5,-1.2,1.5,2.0,,6.3,7.0,8.1,9.9,12.2,14.2,16.9,20.2,25.2,32.7,51.6,,1.8,1.3,0.6,-0.7,-2.0,-3.0,-4.3,-6.2,-9.4,-16.2,-25.2,,4.8,4.9,4.8,4.9,4.7,4.8,4.7,4.7,4.7,6.4,2.2,,3.2,3.1,3.3,3.5,3.6,3.8,3.8,3.9,4.3,3.3,3.6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Value-added of Manufacture of Nonmetallic Mineral Products Growth Rate (The same period last year=100)(%),-1.5,-2.8,,,0.3,-0.6,-1.1,-1.7,-1.6,-3.4,-0.4,-2.6,-0.6,3.8,,,-1.8,1.6,3.1,0.8,-5.0,-3.8,-3.7,-5.4,-6.2,1.6,,,-0.2,-4.0,-4.1,-1.1,4.4,5.9,8.7,7.6,12.6,24.5,,,7.5,7.7,9.3,9.0,5.0,3.1,4.8,5.5,4.2,-4.5,,,8.4,8.6,4.1,7.0,8.1,8.7,9.5,9.9,9.8,15.4,,,8.8,6.9,7.7,5.2,5.2,5.2,3.7,2.6,1.9,-0.8,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Value-added of Manufacture of Nonmetallic Mineral Products Accumulated Growth Rate(%),0.4,1.1,3.9,,-0.5,-0.6,-0.6,-0.5,-0.3,-0.1,0.4,0.6,1.4,2.0,0.7,,-1.5,-1.4,-1.8,-2.5,-2.9,-2.6,-2.4,-2.0,-0.9,1.4,1.3,,8.0,8.9,10.6,12.6,14.8,16.6,18.8,21.7,26.7,33.9,44.8,,2.8,2.3,1.7,0.8,-0.4,-1.3,-2.2,-4.1,-7.6,-13.7,-21.1,,8.9,8.9,9.0,9.6,9.9,10.2,10.4,10.7,11.0,11.5,8.8,,4.6,4.2,4.0,3.5,3.2,3.0,2.6,2.3,2.3,2.5,4.2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Value-added of Smelting and Pressing of Ferrous Metals Growth Rate (The same period last year=100)(%),2.0,3.3,,,2.1,5.1,7.3,9.9,14.5,15.6,7.8,3.1,4.3,6.0,,,2.8,9.4,10.2,10.6,-1.3,-4.3,0.6,-2.7,-4.2,-1.6,,,-2.5,-11.2,-12.8,-9.7,-5.3,-2.6,4.1,7.7,10.9,12.3,,,10.7,9.6,11.2,9.0,9.2,7.9,6.3,6.1,4.6,4.1,,,10.7,10.7,6.3,9.5,10.4,10.0,13.7,11.7,11.5,8.5,,,9.2,10.4,10.1,10.1,5.9,6.6,7.8,7.4,5.0,5.2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Value-added of Smelting and Pressing of Ferrous Metals Accumulated Growth Rate(%),5.4,6.6,8.7,,7.1,7.5,7.8,7.8,7.6,6.7,5.5,5.0,5.5,5.9,5.9,,1.2,1.0,0.2,-0.9,-2.4,-2.5,-2.2,-2.8,-2.9,-2.4,-2.9,,1.2,1.6,3.0,5.0,7.2,9.2,11.5,13.4,14.8,16.4,21.6,,6.7,6.3,5.9,5.3,4.8,4.2,3.4,2.8,1.7,0.5,-2.0,,9.9,9.9,9.7,10.1,10.2,10.2,10.3,9.5,8.9,7.9,7.5,,7.0,6.8,6.4,5.9,5.3,5.2,5.0,4.4,3.5,2.9,1.7,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Value-added of Smelting and Pressing of Non-ferrous Metals Growth Rate (The same period last year=100)(%),11.4,11.2,,,12.9,10.2,12.5,8.4,8.8,8.9,9.1,7.1,7.4,7.0,,,6.3,9.4,6.8,7.8,3.6,2.3,4.9,3.4,1.4,6.2,,,-0.8,-1.2,0.0,1.2,2.8,2.3,2.4,2.9,1.4,5.9,,,3.8,4.0,4.7,3.5,4.8,2.6,2.8,4.0,6.9,2.8,,,5.0,6.4,9.1,7.7,8.5,10.3,12.9,9.4,8.9,11.1,,,13.2,12.8,8.7,9.8,9.5,5.6,4.0,5.9,5.8,5.9,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Value-added of Smelting and Pressing of Non-ferrous Metals Accumulated Growth Rate(%),11.8,12.0,12.5,,8.8,8.4,8.3,7.8,7.7,7.6,7.4,7.1,7.0,6.9,6.7,,5.2,5.1,4.6,4.3,3.8,3.9,4.1,3.9,4.1,5.1,4.4,,3.9,4.4,5.1,5.7,6.4,6.9,7.8,9.2,10.7,14.3,22.7,,2.5,2.4,2.2,1.9,1.7,1.3,1.0,0.5,-0.6,-3.8,-8.5,,9.2,9.6,9.9,9.9,10.2,10.5,10.4,9.7,9.7,10.1,9.3,,7.8,7.2,6.5,6.2,5.7,5.1,5.0,5.4,5.4,5.2,4.4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Value-added of Manufacture of Metal Products Growth Rate (The same period last year=100)(%),5.9,1.5,,,7.3,6.0,5.5,3.7,1.4,1.4,2.4,-0.1,2.7,4.8,,,-1.2,-0.3,-3.1,1.3,-2.3,-2.3,0.1,-2.3,-6.6,2.1,,,4.6,3.5,6.7,6.8,11.8,12.7,19.7,19.2,21.0,22.5,,,13.0,13.8,14.1,12.6,9.9,7.8,2.6,3.6,8.9,-1.6,,,6.3,6.0,3.1,2.6,0.9,4.2,5.7,6.5,3.3,14.6,,,4.0,3.9,3.1,3.7,4.4,2.5,1.4,2.5,5.4,2.8,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Value-added of Manufacture of Metal Products Accumulated Growth Rate(%),5.3,5.1,7.5,,3.2,2.7,2.3,1.9,1.6,1.6,1.5,1.3,1.8,1.6,-0.8,,-0.4,-0.4,-0.4,-0.1,-0.2,0.1,0.5,0.6,1.5,4.9,6.8,,16.0,17.5,19.4,21.2,23.5,25.5,28.2,30.5,33.9,40.2,59.5,,5.2,4.3,3.1,1.8,0.2,-1.2,-3.1,-4.7,-7.3,-15.0,-26.9,,5.8,5.7,5.7,6.0,6.4,7.3,7.9,8.4,8.9,11.0,8.5,,3.8,3.7,3.7,3.7,3.7,3.6,3.7,4.2,4.7,4.5,5.5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Value-added of Manufacture of General Purpose Machinery Growth Rate (The same period last year=100)(%),3.7,0.0,,,4.6,0.8,-0.1,0.0,-0.8,-1.4,-0.2,6.1,13.5,4.6,,,-3.4,-0.9,2.0,2.3,0.8,-0.4,1.1,-6.8,-15.8,-0.7,,,1.5,2.8,1.0,3.0,6.7,7.6,13.9,13.8,14.9,20.2,,,11.1,10.2,13.1,12.5,10.9,9.6,7.4,7.3,7.5,-5.4,,,4.9,6.2,3.1,3.5,0.0,0.7,2.6,2.5,2.0,14.1,,,6.5,6.7,6.8,6.1,5.9,6.9,6.8,6.6,9.7,6.8,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Value-added of Manufacture of General Purpose Machinery Accumulated Growth Rate(%),2.8,2.4,4.1,,2.0,1.7,1.8,2.1,2.4,2.8,3.6,4.5,4.0,1.1,-1.3,,-1.2,-1.0,-1.0,-1.4,-1.9,-2.2,-2.7,-3.6,-2.7,2.6,5.0,,12.4,13.8,15.2,17.1,19.4,21.5,24.3,27.2,31.6,39.9,62.4,,5.1,4.4,3.7,2.6,1.2,-0.3,-2.3,-4.9,-9.0,-17.2,-28.2,,4.3,4.1,3.9,3.9,3.9,4.5,5.1,5.7,6.7,8.4,4.4,,7.2,7.3,7.4,7.4,7.6,7.8,7.9,8.2,8.6,8.2,9.1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Value-added of Manufacture of Special Purpose Machinery Growth Rate (The same period last year=100)(%),2.0,0.9,,,3.6,1.9,2.7,1.6,-0.5,1.5,3.4,3.9,9.1,7.3,,,-0.5,2.3,3.0,4.9,4.5,4.0,6.0,1.1,-5.5,7.6,,,7.4,4.0,7.2,8.8,8.7,5.3,10.5,5.9,10.2,17.9,,,8.7,10.5,8.0,8.0,8.0,10.2,9.6,16.4,14.3,-2.2,,,6.5,7.0,5.0,7.0,3.3,4.0,5.3,4.9,2.8,16.4,,,11.7,12.4,8.1,9.7,9.8,11.2,11.5,9.6,13.2,11.4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Value-added of Manufacture of Special Purpose Machinery Accumulated Growth Rate(%),1.7,1.6,2.0,,3.6,3.6,3.8,3.9,4.2,4.9,5.5,5.9,6.4,5.5,3.9,,3.6,4.0,4.2,4.4,4.3,4.1,4.1,3.6,4.3,8.2,8.8,,12.6,13.3,14.6,15.5,16.5,17.8,20.1,22.6,28.2,37.2,59.2,,6.3,6.0,5.4,5.1,4.6,4.1,2.9,1.0,-4.2,-13.5,-24.4,,6.9,7.0,6.9,7.1,7.1,7.7,8.3,9.0,10.1,12.6,10.0,,10.9,10.7,10.5,10.8,10.9,11.1,11.1,11.0,11.4,10.7,10.3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Value-added of Manufacture of Automobiles Growth Rate (The same period last year=100)(%),16.3,9.4,,,20.0,20.7,10.8,9.0,9.9,6.2,8.8,23.8,44.6,13.5,,,-5.9,4.9,18.7,23.7,30.5,22.5,16.2,-7.0,-31.8,-1.0,,,2.8,-4.7,-7.9,-8.2,-12.6,-8.5,-4.3,0.5,7.7,40.4,,,9.7,11.1,14.7,16.4,14.8,21.6,13.4,12.2,5.8,-22.4,,,10.4,7.7,4.9,0.5,4.3,-4.4,-2.5,-4.7,-1.1,2.6,,,-4.1,-3.2,-0.7,0.7,1.9,6.3,14.0,13.2,11.9,9.5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Value-added of Manufacture of Automobiles Accumulated Growth Rate(%),11.3,9.7,9.8,,13.0,12.3,11.3,11.4,11.7,12.0,13.1,14.2,11.8,4.4,-1.0,,6.3,7.7,8.1,6.9,4.5,1.3,-1.9,-5.7,-5.4,4.0,7.2,,5.5,5.8,7.3,9.4,12.4,16.7,21.8,29.3,38.8,55.1,70.9,,6.6,6.3,5.6,4.4,2.8,1.1,-3.1,-7.9,-15.0,-26.0,-31.8,,1.8,0.7,-0.2,-0.8,-1.0,-1.8,-1.4,-1.0,-0.3,0.2,-5.3,,4.9,5.9,6.9,7.7,8.7,9.6,10.1,9.2,8.1,6.8,4.9,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Value-added of Manufacture of Railway Shipping Aerospace and Other Transport Equipments Growth Rate (The same period last year=100)(%),13.2,8.6,,,5.6,12.7,9.6,2.6,3.1,1.0,4.7,7.6,9.5,8.6,,,2.0,-2.9,0.5,7.6,5.8,7.6,6.7,-0.1,-6.0,1.1,,,-2.0,3.6,6.5,7.9,1.3,4.6,6.8,7.5,7.7,9.8,,,8.7,2.6,-0.7,3.9,-0.3,-1.4,-1.2,2.5,5.7,0.5,,,-6.8,0.1,3.0,4.7,7.8,15.7,14.5,8.3,5.8,13.6,,,13.8,12.7,5.0,2.4,-0.5,-1.9,0.7,2.5,2.9,4.2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Value-added of Manufacture of Railway Shipping Aerospace and Other Transport Equipments Accumulated Growth Rate(%),10.9,10.0,11.0,,6.8,6.9,6.3,5.9,6.3,6.9,8.0,8.9,9.2,9.3,9.7,,2.4,2.4,3.1,3.4,2.8,2.3,1.6,0.3,0.4,2.9,4.2,,8.4,10.0,10.8,11.3,11.9,13.6,15.3,17.9,21.2,27.2,48.9,,-0.3,-1.4,-1.9,-2.1,-2.9,-3.3,-3.8,-4.8,-7.3,-13.7,-28.2,,7.4,9.0,9.8,10.5,11.1,11.4,10.6,9.5,9.7,10.9,7.9,,5.3,4.1,2.8,2.4,2.4,2.7,3.4,4.0,4.2,4.7,4.9,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Value-added of Manufacture of Electrical Machinery and Equipment Growth Rate (The same period last year=100)(%),5.8,4.8,,,10.1,10.2,9.8,11.5,10.2,10.6,15.4,15.4,17.3,16.9,,,10.8,12.4,16.3,15.8,14.8,12.5,12.9,7.3,1.6,10.6,,,5.8,9.4,5.3,6.8,10.3,10.3,15.0,18.7,22.6,24.1,,,15.6,18.0,17.6,15.9,15.1,15.6,8.7,6.8,9.0,-0.4,,,12.4,12.6,10.7,12.1,10.0,7.6,11.3,8.8,7.1,15.2,,,10.1,9.0,6.8,5.2,3.3,5.7,3.8,6.4,9.0,8.4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Value-added of Manufacture of Electrical Machinery and Equipment Accumulated Growth Rate(%),5.0,4.8,4.6,,12.9,13.2,13.6,14.1,14.5,15.1,15.7,15.7,15.7,15.1,13.9,,11.9,12.0,11.9,11.4,10.7,10.2,9.7,8.8,9.2,12.4,13.6,,16.8,18.2,19.5,21.4,23.8,26.2,29.4,33.5,37.9,45.3,69.4,,8.9,8.1,7.0,5.6,4.1,2.5,-0.3,-2.8,-5.8,-12.9,-24.7,,10.7,10.4,10.1,10.0,9.8,9.7,10.0,9.7,10.0,11.0,8.0,,7.3,6.9,6.7,6.7,6.8,7.3,7.6,8.5,9.0,9.0,9.4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Value-added of Manufacture of Communication Equipment Computers and Other Electronic Equipment Growth Rate (The same period last year=100)(%),15.6,10.6,,,9.6,10.6,4.8,4.5,5.8,0.7,1.2,0.0,1.8,1.2,,,1.1,-1.1,9.4,10.6,5.5,7.3,11.0,7.3,4.9,12.5,,,12.0,13.5,14.0,9.5,13.3,13.0,13.4,12.7,10.4,12.2,,,11.4,9.3,5.0,8.0,8.7,11.8,12.6,10.8,11.8,9.9,,,11.6,9.7,8.2,11.4,4.7,6.1,10.4,10.6,12.4,10.2,,,10.5,12.3,14.6,12.6,17.1,13.5,10.9,13.5,12.4,12.8,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Value-added of Manufacture of Communication Equipment Computers and Other Electronic Equipment Accumulated Growth Rate(%),13.6,13.0,14.6,,3.4,2.6,1.7,1.4,0.9,0.1,0.0,-0.3,-0.4,-1.1,-2.6,,7.6,8.3,9.5,9.5,9.3,9.8,10.2,9.9,10.7,12.7,12.7,,15.7,16.2,16.5,16.8,18.0,18.7,19.8,21.5,24.2,30.0,48.5,,7.7,7.2,6.9,7.2,7.0,6.7,5.7,3.7,1.8,-2.8,-13.8,,9.3,8.9,8.8,8.9,8.5,9.1,9.6,9.4,9.0,7.8,6.0,,13.1,13.4,13.4,13.2,13.3,12.6,12.4,12.8,12.6,12.5,12.1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Value-added of Manufacture of Measuring Instruments Growth Rate (The same period last year=100)(%),9.2,1.8,,,5.9,3.2,0.2,-1.1,-2.2,-3.6,1.7,5.5,13.8,11.3,,,-1.2,1.2,8.9,9.5,7.0,7.2,6.5,4.1,-8.8,4.4,,,4.6,8.6,5.1,7.9,9.4,6.9,12.4,8.4,9.2,12.4,,,8.7,6.4,5.7,3.0,3.8,9.4,6.6,8.4,11.1,-4.9,,,3.4,11.0,11.8,15.9,10.0,8.0,8.5,8.4,5.3,16.6,,,9.2,3.5,4.3,5.1,4.3,4.0,3.8,7.5,9.0,7.8,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
