Database???Monthly
Month��2015-
Indicators,Apr 2024,Mar 2024,Feb 2024,Jan 2024,Dec 2023,Nov 2023,Oct 2023,Sep 2023,Aug 2023,Jul 2023,Jun 2023,May 2023,Apr 2023,Mar 2023,Feb 2023,Jan 2023,Dec 2022,Nov 2022,Oct 2022,Sep 2022,Aug 2022,Jul 2022,Jun 2022,May 2022,Apr 2022,Mar 2022,Feb 2022,Jan 2022,Dec 2021,Nov 2021,Oct 2021,Sep 2021,Aug 2021,Jul 2021,Jun 2021,May 2021,Apr 2021,Mar 2021,Feb 2021,Jan 2021,Dec 2020,Nov 2020,Oct 2020,Sep 2020,Aug 2020,Jul 2020,June 2020,May 2020,Apr 2020,Mar 2020,Feb 2020,Jan 2020,Dec 2019,Nov 2019,Oct 2019,Sep 2019,Aug 2019,Jul 2019,Jun 2019,May 2019,Apr 2019,Mar 2019,Feb 2019,Jan 2019,Dec 2018,Nov 2018,Oct 2018,Sep 2018,Aug 2018,Jul 2018,Jun 2018,May 2018,Apr 2018,Mar 2018,Feb 2018,Jan 2018,Dec 2017,Nov 2017,Oct 2017,Sep 2017,Aug 2017,Jul 2017,Jun 2017,May 2017,Apr 2017,Mar 2017,Feb 2017,Jan 2017,Dec 2016,Nov 2016,Oct 2016,Sep 2016,Aug 2016,Jul 2016,Jun 2016,May 2016,Apr 2016,Mar 2016,Feb 2016,Jan 2016,Dec 2015,Nov 2015,Oct 2015,Sep 2015,Aug 2015,Jul 2015,Jun 2015,May 2015,Apr 2015,Mar 2015,Feb 2015,Jan 2015
Value-added of Manufacture of Nonmetallic Mineral Products Accumulated Growth Rate(%),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3.7,4.0,4.2,4.4,4.7,5.2,5.5,5.9,6.2,6.2,5.8,,6.5,6.7,6.8,6.9,7.2,7.6,7.8,8.1,8.1,7.6,6.0,,6.5,6.5,6.6,6.8,6.6,6.4,6.4,6.3,6.6,7.6,10.4,
Value-added of Smelting and Pressing of Ferrous Metals Growth Rate (The same period last year=100)(%),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-1.5,-2.8,-1.3,-1.4,0.9,2.1,0.7,-1.9,0.2,-0.2,,,-13.1,-7.3,-3.3,-3.1,-1.7,1.7,1.8,-2.1,-0.3,3.3,,,5.2,7.0,5.6,6.1,5.4,4.1,6.6,5.7,6.1,5.5,,
Value-added of Smelting and Pressing of Ferrous Metals Accumulated Growth Rate(%),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.3,0.4,0.5,0.6,0.7,0.7,0.5,0.4,0.8,1.0,-9.1,,-1.7,-0.5,0.3,0.7,1.2,1.6,1.6,1.5,2.5,3.7,4.0,,5.4,5.4,5.2,5.2,5.1,5.0,5.2,4.9,4.7,4.2,3.5,
Value-added of Smelting and Pressing of Non-ferrous Metals Growth Rate (The same period last year=100)(%),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5.4,1.6,-1.7,-0.9,0.4,1.1,3.5,2.2,1.4,4.2,,,-0.8,0.8,3.4,4.4,3.0,5.6,9.1,11.1,11.0,8.9,,,11.7,11.8,12.1,11.9,11.7,13.0,11.7,8.5,8.2,9.6,,
Value-added of Smelting and Pressing of Non-ferrous Metals Accumulated Growth Rate(%),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.5,1.1,1.1,1.5,1.8,2.0,2.1,1.7,1.5,1.5,-0.4,,6.2,6.9,7.6,8.1,8.6,9.4,10.0,10.3,10.1,9.7,10.2,,11.3,11.3,11.2,11.1,11.0,10.9,10.5,10.2,10.6,11.5,12.7,
Value-added of Manufacture of Metal Products Growth Rate (The same period last year=100)(%),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5.7,4.4,4.4,5.2,4.4,5.4,9.2,7.4,7.2,9.1,,,4.7,6.6,7.6,7.9,9.8,9.7,8.9,8.6,9.3,8.2,,,6.2,7.2,6.7,5.8,6.0,7.7,8.4,7.2,7.3,8.2,,
Value-added of Manufacture of Metal Products Accumulated Growth Rate(%),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,6.6,6.6,6.9,7.2,7.4,7.9,8.3,8.1,8.3,8.7,8.4,,8.2,8.5,8.7,8.8,9.0,8.8,8.7,8.6,8.6,8.3,8.2,,7.4,7.5,7.5,7.6,7.9,8.2,8.3,8.3,8.6,9.1,9.7,
Value-added of Manufacture of General Purpose Machinery Growth Rate (The same period last year=100)(%),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,8.5,8.9,9.6,10.6,10.7,11.5,12.3,11.5,10.8,10.6,,,8.4,8.6,8.2,7.0,5.7,3.6,4.9,4.2,3.8,6.0,,,1.2,2.5,1.7,2.2,3.8,4.0,4.0,2.7,2.6,2.4,,
Value-added of Manufacture of General Purpose Machinery Accumulated Growth Rate(%),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,10.5,10.7,10.9,11.1,11.1,11.2,11.2,10.8,10.7,10.6,10.6,,5.9,5.7,5.3,4.9,4.6,4.4,4.5,4.4,4.5,4.8,3.9,,2.9,3.1,3.2,3.4,3.6,3.6,3.5,3.4,3.6,3.9,4.8,
Value-added of Manufacture of Special Purpose Machinery Growth Rate (The same period last year=100)(%),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,10.7,10.1,12.3,11.3,12.1,11.9,12.0,11.1,12.0,13.4,,,8.0,10.7,8.3,7.8,7.5,5.6,6.9,5.7,5.0,4.1,,,3.2,2.2,4.6,3.8,5.2,4.8,4.9,3.1,2.4,-0.2,,
Value-added of Manufacture of Special Purpose Machinery Accumulated Growth Rate(%),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,11.8,11.9,12.1,12.0,12.1,12.1,12.0,12.0,12.2,12.3,11.5,,6.7,6.5,6.0,5.7,5.4,5.0,4.9,4.5,4.1,3.8,3.5,,3.4,3.4,3.5,3.4,3.3,3.0,2.7,2.2,2.0,1.8,3.1,
Value-added of Manufacture of Automobiles Growth Rate (The same period last year=100)(%),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,9.6,9.4,11.0,13.7,14.5,11.8,13.1,10.3,9.2,12.4,,,16.2,19.5,17.9,22.5,21.4,22.9,11.4,11.2,12.1,11.4,,,12.0,13.0,7.3,2.7,0.2,-0.5,7.9,4.4,5.0,6.3,,
Value-added of Manufacture of Automobiles Accumulated Growth Rate(%),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,12.2,12.6,13.0,13.2,13.1,13.0,13.1,13.2,13.9,15.4,17.0,,15.5,15.5,15.0,14.6,13.4,12.3,10.5,10.4,10.2,9.5,8.1,,6.7,6.1,5.2,4.9,5.2,5.8,6.7,6.4,6.9,7.6,8.4,
Value-added of Manufacture of Railway Shipping Aerospace and Other Transport Equipments Growth Rate (The same period last year=100)(%),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,9.1,8.1,7.4,7.2,5.3,3.3,4.6,6.1,7.3,5.4,,,-1.9,1.1,2.4,3.9,4.0,3.2,4.1,5.5,3.6,3.3,,,3.8,2.6,0.7,4.5,5.1,7.7,8.0,5.1,9.2,15.5,,
Value-added of Manufacture of Railway Shipping Aerospace and Other Transport Equipments Accumulated Growth Rate(%),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,6.2,5.6,5.2,5.2,5.1,5.1,5.2,5.3,5.0,4.1,3.2,,3.2,3.8,4.1,4.2,4.2,4.2,4.4,4.5,4.2,4.4,5.2,,6.8,7.1,7.6,8.4,8.9,9.5,9.8,10.3,11.7,12.6,10.5,
Value-added of Manufacture of Electrical Machinery and Equipment Growth Rate (The same period last year=100)(%),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,9.9,10.5,11.1,12.3,12.6,11.7,12.3,10.7,9.1,9.0,,,7.2,7.5,8.3,8.3,8.6,8.2,9.5,9.2,8.3,9.4,,,7.7,6.4,7.3,7.9,6.9,7.5,7.9,6.5,6.5,6.9,,
Value-added of Manufacture of Electrical Machinery and Equipment Accumulated Growth Rate(%),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,10.6,10.7,10.7,10.7,10.4,10.0,9.7,9.0,8.4,8.2,7.5,,8.5,8.6,8.7,8.7,8.8,8.8,8.9,8.7,8.6,8.7,8.2,,7.3,7.2,7.3,7.3,7.2,7.2,7.2,7.0,7.2,7.5,7.8,
Value-added of Manufacture of Communication Equipment Computers and Other Electronic Equipment Growth Rate (The same period last year=100)(%),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,12.4,15.0,12.8,16.3,13.0,11.8,14.6,11.1,13.0,16.1,,,13.5,8.9,9.3,8.6,10.6,12.0,10.7,10.0,8.3,8.4,,,7.6,11.1,11.7,10.5,11.1,9.4,9.2,9.9,10.2,12.3,,
Value-added of Manufacture of Communication Equipment Computers and Other Electronic Equipment Accumulated Growth Rate(%),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,13.8,13.9,13.8,13.9,13.5,13.6,13.9,13.7,14.4,14.9,14.1,,10.0,9.6,9.7,9.7,9.8,9.7,9.2,8.8,8.6,8.6,8.8,,10.5,10.8,10.8,10.7,10.7,10.6,10.8,11.2,11.5,12.0,11.8,
Value-added of Manufacture of Measuring Instruments Growth Rate (The same period last year=100)(%),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,9.5,10.6,12.0,17.3,13.6,12.0,14.4,11.1,11.5,13.9,,,12.1,13.9,10.8,9.2,11.0,7.9,7.6,9.7,6.5,8.6,,,5.8,2.0,4.2,4.1,4.3,5.4,6.8,3.8,6.6,7.9,,
Value-added of Manufacture of Measuring Instruments Accumulated Growth Rate(%),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,12.5,12.8,13.2,13.3,12.7,12.5,12.5,12.0,12.3,12.6,11.4,,9.4,9.0,8.4,8.2,8.0,7.5,7.4,7.3,6.7,6.7,5.4,,5.4,5.3,5.7,5.9,6.1,6.4,6.6,6.5,7.3,7.6,7.4,
Value-added of Manufacture of Others Growth Rate (The same period last year=100)(%),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.3,3.1,10.7,5.9,9.2,0.1,18.4,3.3,0.5,-1.3,,,11.1,5.8,0.7,7.4,2.2,7.5,5.7,6.1,13.0,12.5,,,3.8,2.2,5.4,4.8,8.4,5.7,0.1,9.9,8.7,7.5,,
Value-added of Manufacture of Others Accumulated Growth Rate(%),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5.9,6.1,6.4,5.8,5.8,5.3,6.2,2.6,2.4,3.2,6.3,,5.4,4.7,4.6,5.0,4.7,5.0,4.6,4.3,3.8,-0.5,-11.3,,6.1,6.3,6.8,7.0,7.3,7.1,7.4,9.0,8.8,8.8,9.5,
Value-added of Comprehensive Utilization of Waste Growth Rate (The same period last year=100)(%),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,9.8,5.1,6.4,10.3,1.5,2.5,-2.9,-5.1,-7.8,-7.7,,,-7.5,-1.4,0.4,4.3,4.3,3.4,17.6,11.7,11.7,12.7,,,16.4,15.7,25.2,25.3,24.1,24.7,20.5,21.9,18.9,18.4,,
Value-added of Comprehensive Utilization of Waste Accumulated Growth Rate(%),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.4,0.4,-0.1,-0.9,-2.7,-3.3,-4.5,-5.0,-4.8,-3.8,-1.5,,8.2,9.7,10.9,12.2,13.2,14.6,16.4,16.1,17.3,19.4,22.9,,20.4,20.8,21.3,20.8,20.2,19.6,18.6,18.1,17.0,16.2,14.7,
Value-added of Repair of Metal Products Machinery and Equipment Growth Rate (The same period last year=100)(%),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-1.8,5.6,5.2,8.1,12.5,2.4,9.8,15.4,17.7,18.5,,,1.6,-7.8,1.1,-0.7,-5.5,3.6,7.8,12.3,12.9,16.7,,,8.5,11.6,9.9,11.7,17.2,13.3,9.8,-2.4,0.0,5.1,,
Value-added of Repair of Metal Products Machinery and Equipment Accumulated Growth Rate(%),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,9.8,10.7,11.1,11.3,11.5,11.2,12.5,12.9,12.0,9.5,2.3,,6.5,7.0,8.5,9.3,10.6,12.7,14.2,15.7,16.1,17.3,17.5,,8.8,8.8,8.5,8.3,7.8,6.2,4.8,3.4,5.0,7.0,8.2,
Value-added of Production and Supply of Electric Power and Heat Power Growth Rate (The same period last year=100)(%),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,7.2,3.5,8.8,7.3,8.2,9.7,6.6,6.1,7.8,10.0,,,7.7,9.6,7.5,7.1,6.8,6.9,3.3,1.4,0.6,4.1,,,-1.7,1.2,-1.4,-0.1,1.5,-0.9,1.4,1.4,0.7,-2.6,,
Value-added of Production and Supply of Electric Power and Heat Power Accumulated Growth Rate(%),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,7.8,7.8,8.3,8.2,8.3,8.3,8.0,8.3,8.8,9.2,8.7,,4.8,4.5,3.9,3.5,3.0,2.4,1.6,1.2,1.2,1.3,0.0,,0.5,0.7,0.7,0.9,1.0,0.9,1.2,1.2,1.1,1.2,3.1,
Value-added of Production and Supply of Gas Growth Rate (The same period last year=100)(%),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,20.4,16.4,18.6,14.3,15.7,12.1,14.0,7.7,7.1,8.1,,,11.1,13.6,12.5,10.7,11.3,16.9,13.6,19.2,15.4,11.0,,,6.7,14.0,10.9,9.4,5.6,5.8,10.1,9.7,16.1,14.8,,
Value-added of Production and Supply of Gas Accumulated Growth Rate(%),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,12.5,11.4,10.8,9.9,9.3,8.4,7.8,6.6,6.3,6.1,5.1,,14.3,14.7,14.8,15.1,15.6,16.1,16.0,16.4,15.8,15.9,18.4,,11.1,11.6,11.3,11.3,11.6,12.4,13.4,14.0,14.9,14.6,14.5,
Value-added of Production and Supply of Water Growth Rate (The same period last year=100)(%),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,7.8,5.9,6.6,8.8,12.2,9.2,10.0,10.4,7.9,7.4,,,8.9,10.4,9.7,7.7,5.7,6.8,4.5,1.5,6.3,8.6,,,4.4,6.2,5.9,4.6,5.0,6.2,5.2,9.3,7.4,4.2,,
Value-added of Production and Supply of Water Accumulated Growth Rate(%),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,8.7,8.7,9.1,9.4,9.4,8.9,8.9,8.5,8.1,8.1,8.5,,7.0,6.8,6.3,5.9,5.5,5.5,5.2,5.3,6.4,6.4,5.2,,5.6,5.7,5.7,5.7,5.9,6.1,6.1,6.3,5.4,4.7,4.9,
"Note:1.Since 2011, enterprises above designated size refers to all industrial enterprises with revenue from principal business over from formly 5 million to 20 million."
"　　　2.Since 2012, the new industrial classification for national economic activities (GB/T 4754-2011) was implemented by NBS, the industrial divisions were expanded to 41 from 39, please refer to http://www.stats.gov.cn/tjbz for detailed information. For the convenience of users, as of statistics of rate of added value of industries and value of export delivery, database provides data of 2003-2011 and 2012 to now separately."
"　　　3.In order to eliminate the impact of the different date of ?Spring Festival? of each year, and enhance the comparability of data, in accordance with the national statistical system, the data in January and February was investigated and released together."
Data Sources��National Bureau of Statistics
